ID_REF,GSM96454,GSM96455,GSM96456,GSM96457,GSM96458,GSM96459,GSM96461,GSM96462,GSM96463,GSM96464,GSM96466,GSM96467,GSM96468,GSM96469,GSM96470,GSM96471,GSM96472,GSM96473,GSM96474,GSM96475,GSM96476,GSM96477,GSM96478,GSM96479,GSM96480,GSM96481,GSM96482,GSM96483
444,0.174916,0.284012,0.182437,0.132166,0.081227,0.247735,0.249495,0.015352,0.018402,0.351807,0.063008,0,0.136376,0.393869,0,0.180626,0,0.264544,0,0.151178,0.098806,0.546636,0.171437,0.154229,0.345081,0.014103,0,0
445,0.09569,0.385823,0.486637,0.328423,0.477185,0.577967,0.443425,0.295759,0.05814,0.417781,0.296638,0.191818,0.303387,0.598361,0,0.171685,0.133381,0.631739,0,0.318599,0,0.106085,0.077554,0.001854,0.091415,0.099864,0.528482,0
446,0.017437,0,0.434084,0.398947,0.231135,0.330074,0.244471,0.302664,0,0.161503,0.314437,0,0.41761,0.263496,0,0,0.30635,0.356033,0,0,0.125196,0.352482,0.069749,0.286899,0.181245,0,0.124131,0.213736
447,2.39047,6.240157,6.599425,4.00301,4.517771,5.892097,4.898863,3.59856,1.606891,5.166332,4.31962,3.434826,5.358448,4.330539,5.481537,5.727411,2.299755,7.641722,3.438109,3.089259,1.784115,4.349133,4.961436,3.786922,4.409729,7.957398,3.422987,3.750791
448,0.101219,0.08745,0.384221,0.398801,0.340633,0.739541,0.603899,0.080839,0,0.610648,0.415284,0.170793,0.380913,0.458171,0.520277,0.743627,0.098274,0.902527,0,0.133301,0.204342,0.308892,0.477248,0.0752,0.258739,0.441534,0,0.240547
449,1.702504,1.979686,0.520122,0.85486,0.381311,1.025052,0.842083,1.019177,0.470448,0.981115,0.798928,0.712977,0.906083,1.022192,0.524415,2.742387,2.282652,1.148166,2.31243,0.930134,0.897342,0.909793,1.055818,0.725222,1.137046,1.53882,0,0.698197
450,0.632689,0,0.031534,0,0,0.260263,0,0,0,0.143683,0.02394,0,0,0.244082,0,0,0,0.258045,0,0,0.665978,0,0,0,0,0,0,0
451,0.264177,0.540208,0.572072,0.664325,0.732777,0.832293,0.644726,0.303307,0.377479,0.697066,0.614264,0.221381,0.740585,0.757712,0,0,0.846772,0.482397,0,0.331651,0.442026,0.701559,0.045889,0,0.449599,0.232303,0,0
452,0.921044,0.923909,0.79829,0.797461,1.207914,1.121925,0.874768,0.178216,0.240518,0.950493,0.788388,0.402818,0.721793,0.948462,0.284497,0.964053,0.749319,1.451922,0.132785,0.807942,0.244855,1.128679,0.799282,0.427781,0.652564,1.431681,0.699113,0.344219
453,0.154834,0.82145,0.114967,0.063725,0.269472,0.427224,0.159875,0,0.003298,0.150146,0.079108,0,0.255372,0.35444,0,0,0.354516,1.00977,0,0.310368,0,0.933779,0.512015,0.144455,0.256381,0.773705,1.390834,0
454,0.234319,2.137174,0.396861,0.463102,0.505644,0.622676,0.515121,0.125945,0.102793,0.432013,0.343446,0.016175,0.620576,0.490085,0.769384,1.573662,1.116587,1.278577,0.419764,1.238865,0.969644,1.323278,0.687781,0.524915,0.725297,1.188031,0.235177,0.301945
455,0.627579,0.375711,1.063081,0.917796,0.691347,1.109634,1.286823,0.454814,0.352781,0.903931,0.712482,0.386058,1.372109,0.738276,0.283081,0.326958,0.256509,1.173811,0.057436,0.555406,0.161303,1.149538,0.380475,0.334029,0.190125,0.962433,0.403639,0.07308
456,0.661268,0.192678,0.877535,0.854044,0.657376,1.842773,1.291739,1.435716,0.28378,0.752402,1.419825,0.195492,2.15441,1.121012,0.169136,0.015794,0.525918,1.455761,0.000578,0.209905,0.14771,1.170847,0.917831,0.486321,1.165097,1.271489,1.555172,0.049314
457,2.827998,2.518727,2.761588,2.394537,3.480403,3.496452,3.774893,1.72504,1.333784,3.652147,2.783333,1.945654,3.322687,2.739836,2.158719,1.738925,4.242219,4.892067,2.276938,2.133137,0.930799,3.960559,3.390295,2.92528,2.977761,4.559026,3.706535,1.531045
458,1.288005,4.059738,1.349921,0.946527,2.48142,2.156048,1.662591,0.866963,0.739159,1.870141,1.093145,1.503761,1.71517,1.694494,3.773405,4.394299,5.792718,5.312552,4.018336,4.003077,2.6281,4.031097,3.292258,2.648505,2.783293,7.763558,4.818887,2.459458
459,0.613251,1.113275,0.823903,0.802371,1.239081,1.444179,1.051946,0.366432,0.265374,0.979851,0.70335,0.615421,0.987527,0.948844,1.003347,1.420201,1.477068,2.030346,1.204574,0.860748,0.202842,1.299505,0.80245,0.239073,0.635404,2.469188,0,0.396342
460,0.917493,0.78321,1.132935,0.933408,1.187774,1.093955,1.437561,0.359676,0.136399,1.211882,0.97455,1.049713,1.080387,1.022629,0.860003,1.118169,1.649891,2.066344,1.500318,0.887214,0.632924,0.994551,0.764726,0.45046,0.303205,1.429098,0,0.321905
461,1.522615,2.444108,2.723265,2.550281,1.365029,3.41095,2.71507,4.27885,1.014382,2.32253,3.535577,0.989599,4.049759,2.064568,1.357247,2.067092,2.320731,4.617887,0.813679,1.243395,0.916324,2.779268,3.085815,2.012886,3.190192,4.684496,2.042721,1.317933
462,3.218732,6.34487,6.91466,7.279757,7.001755,7.901844,6.634627,4.577517,2.617769,9.389853,5.874558,7.428064,7.732608,6.096694,10.148521,9.428022,11.143075,12.93868,12.029107,7.574272,5.054722,11.183983,10.351874,4.463643,6.064612,14.575382,3.47681,5.387323
463,0.423868,0.410942,0.51493,0.373839,0.703933,0.617316,0.565021,0.359808,0.130363,0.60276,0.276859,0.466546,0.528264,0.584945,1.290011,1.001234,0.828141,1.742606,0.472854,1.258364,0.386215,0.626161,0.846411,0.526066,0.830365,1.666055,0.462028,0.343835
464,0.076028,0.01694,0.366634,0.372093,0.256805,0.450484,0.349626,0.17103,0,0.312603,0.330392,0.077506,0.377458,0.368123,0.277402,0.038108,0.349007,0.860783,0,0.29141,0,0.500355,0.372303,0.255201,0.446863,0.686799,0.411735,0.024006
465,0.178226,0.288236,0.485097,0.618319,0.453115,0.685553,0.504866,0.234284,0.110025,0.676734,0.567917,0.478317,0.46095,0.661548,0.326252,0.729877,0.904277,1.3479,0.813649,0.485037,0.292894,0.622516,0.536539,0.269653,0.381827,1.224834,0,0.465161
466,0.17308,0.509686,0.45888,0.500426,0.403857,0.553082,0.351695,0.35484,0.107283,0.605879,0.400045,0.182663,0.478931,0.794649,0.313138,0.067987,0.423611,0.429939,0.709977,0.228783,0.143309,0.594191,1.108316,0.057158,0.438649,0.564302,0,0.154225
467,1.723621,1.119753,1.225087,0.916522,0.754551,0.947233,1.421063,0.667116,0.72706,1.226655,1.132385,0.828145,1.12064,0.951249,1.167833,1.386947,1.320101,2.338366,1.446898,1.217226,0.681672,1.716456,1.934669,1.117371,1.801023,2.237821,2.043714,0.74744
468,3.50739,2.156575,1.359642,1.243642,3.193979,1.659064,2.549135,0.873702,1.213218,1.874581,1.619347,1.341012,1.578216,1.633254,4.20178,2.971868,6.194303,5.052687,4.087615,3.949524,3.632932,3.071119,3.006853,1.953414,2.203459,4.585072,2.022689,2.055699
469,0.000194,0,0.021609,0.065395,0.1661,0.067325,0.203711,0.056286,0,0.11962,0.086341,0,0.045701,0.212619,0.082793,0.129745,0,0.400294,0.098117,0.194412,0.077608,0.3339,0.474805,0.010909,0.106748,0.378915,0,0.068963
470,0.226276,0,0.158114,0.188898,0.191264,0.237717,0.282025,0.133942,0.033156,0.422354,0.246608,0.130857,0.037612,0.496089,0.028195,0,0.353997,0.313616,0.136141,0.263332,0.15228,0.343265,0.416274,0.037681,0.32747,0.318304,0.451762,0
471,0.28073,0,0.646555,0.274307,0.05934,0.543561,0.238568,0.304525,0.057136,0.272049,0.236447,0.018844,0.700321,0.456557,0,0,0.017825,0.457941,0,0,0,0.029623,0.273846,0.068397,0.537144,0,0.219856,0
472,1.066679,0.769222,1.629331,1.289318,1.915292,1.536539,1.070638,0.568868,0.42184,1.437234,0.971832,1.32613,1.140021,1.359367,0.608272,1.178683,1.352109,1.473037,0.910101,0.926885,0.78406,0.6155,1.376804,0.403916,0.984183,2.055995,1.288043,0.673732
473,0.342185,0,0,0,0.187779,0.19312,0.148613,0,0,0.156394,0.082554,0.033955,0.092898,0.408289,0.145218,0.155391,0.211701,0.538671,0.277503,0.154625,0.226091,0.160602,0.298026,0.034,0,0.245117,0,0.012423
474,0,0,0,0,0,0.065793,0,0,0,0,0.067852,0,0,0.09418,0,0,0,0,0,0.024726,0.222381,0.237228,0,0,0,0,0.057142,0.079523
475,0,0,0,0,0,0,0,0,0,0.051721,0,0,0,0,0,0,0.250247,0.108327,0.022413,0,0.466027,0.113253,0,0.17695,0,0.091567,0,0
476,6.863849,4.877591,18.36749,17.222344,13.623678,20.201672,19.149309,13.308549,5.951919,20.075635,15.616711,13.454332,24.965925,12.385362,9.216973,7.631695,7.30605,17.764705,8.037206,9.175636,5.455721,8.122575,8.513052,6.025362,6.965752,15.826225,4.465507,3.381988
477,3.42673,2.053263,3.049294,2.896233,2.241493,3.30576,4.695675,1.656937,1.221347,3.25466,2.39176,2.862693,2.935554,2.203289,2.66776,3.77496,3.73346,3.945184,3.253976,2.789937,1.672481,3.604043,2.612604,2.023451,2.415306,3.602638,1.609372,1.581574
478,0.549533,0.490331,0.650032,0.632132,0.461534,0.775124,0.812354,0.111238,0.07731,0.738779,0.414574,0.432473,0.618388,0.599421,0.886275,0.83666,0.759887,1.351081,0,0.899229,0.274817,1.532516,0.567471,0.399128,0.460977,0.806748,0,0.035016
